#,japanese,pronounciation,translation
1,行く,いく,go
2,見る,みる,"see, look at"
3,多い,おおい,"a lot of, many"
4,家,いえ,"home, household"
5,これ,これ,"this, this one"
6,それ,それ,"that, that one"
7,私,わたし,I
8,仕事,しごと,"work, job"
9,いつ,いつ,when
10,する,する,"do, make"
11,出る,でる,"go out, leave"
12,使う,つかう,"use, make use of"
13,所,ところ,place
14,作る,つくる,"make, create"
15,思う,おもう,think
16,持つ,もつ,"have, possess"
17,買う,かう,buy
18,時間,じか,"time, hour"
19,知る,しる,know
20,同じ,おなじ,"same, identical"
21,今,いま,now
22,新しい,あたらしい,new
23,なる,なる,become
24,まだ,まだ,"(not) yet, still"
25,あと,あと,after
26,聞く,きく,"hear, ask"
27,言う,いう,"say, tell"
28,少ない,すくない,"few, little"
29,高い,たかい,"high, tall"
30,子供,こども,child
31,そう,そう,"so, that way"
32,もう,もう,"already, yet"
33,学生,がくせい,student
34,熱い,あつい,hot (to touch)
35,どうぞ,どうぞ,please
36,午後,ごご,"afternoon, p.m."
37,長い,ながい,long
38,本,ほ,"book, volume"
39,今年,ことし,this year (colloquial)
40,よく,よく,"often, well"
41,彼女,かのじょ,"she, one’s girlfriend"
42,どう,どう,"how, what"
43,言葉,ことば,"word, language"
44,顔,かお,face
45,終わる,おわる,"finish, end"
46,一つ,ひとつ,one (thing)
47,あげる,あげる,"give, offer (colloquial)"
48,こう,こう,"like this, such"
49,学校,がっこう,school
50,くれる,くれる,be given
51,始める,はじめる,start (something)
52,起きる,おきる,"get up, get out of bed"
53,春,はる,spring
54,午前,ごぜ,"morning, a.m."
55,別,べつ,"another, different"
56,どこ,どこ,where
57,部屋,へや,room
58,若い,わかい,young
59,車,くるま,"car, automobile"
60,置く,おく,"put, place"
61,住む,すむ,"live, reside"
62,働く,はたらく,work
63,難しい,むずかしい,difficult
64,先生,せ,teacher
65,立つ,たつ,"stand, rise"
66,呼ぶ,よぶ,"call, name"
67,大学,だいがく,"university, college"
68,安い,やすい,"cheap, inexpensive"
69,もっと,もっと,more
70,帰る,かえる,go back home
71,分かる,わかる,understand
72,広い,ひろい,"wide, big"
73,数,すう,number
74,近い,ちかい,"near, close"
75,そこ,そこ,there
76,走る,はしる,run
77,入れる,いれる,put in
78,教える,おしえる,"teach, tell"
79,歩く,あるく,"walk, go on foot"
80,会う,あう,meet
81,書く,かく,write
82,頭,あたま,head
83,売る,うる,sell
84,大好き,だいすき,like (something) a lot
85,体,からだ,"body, physique"
86,直ぐ,すぐ,"at once, soon"
87,飛ぶ,とぶ,fly
88,とても,とても,very (colloquial)
89,誰,だれ,who
90,好き,すき,"favorite, liked"
91,読む,よむ,read
92,次,つぎ,next
93,あなた,あなた,you
94,飲む,のむ,drink
95,古い,ふるい,old
96,質問,しつも,question
97,今日,きょう,today (colloquial)
98,友達,ともだち,"friend, companion (colloquial)"
99,早い,はやい,early
100,どれ,どれ,"what, which"
101,美しい,うつくしい,beautiful
102,いつも,いつも,always (colloquial)
103,足,あし,"leg, foot"
104,起こす,おこす,wake (someone) up
105,見せる,みせる,show
106,娘,むすめ,"daughter, girl"
107,楽しむ,たのしむ,enjoy
108,色,いろ,color
109,みんな,みんあ,everybody (colloquial)
110,取る,とる,"take, get"
111,勉強,べ,study
112,できる,できる,"can do, be good at"
113,短い,みじかい,"short, brief"
114,落ちる,おちる,"fall, come down"
115,息子,むすこ,son
116,白い,しろい,"white, blank"
117,飛行機,ひこうき,airplane
118,病気,びょうき,illness
119,冬,ふゆ,winter
120,年,とし,"year, age"
121,重い,おもい,heavy
122,胸,むね,"chest, breast"
123,払う,はらう,"pay (money, respect, attention, etc.)"
124,軽い,かるい,light (of weight)
125,見つける,みつける,find
126,忘れる,わすれる,"forget, leave behind"
127,酒,さけ,"alcohol, rice wine"
128,どちら,どちら,which (polite)
129,姉,あね,(one’s own) older sister
130,覚える,おぼえる,"memorize, learn"
131,狭い,せまい,"narrow, small"
132,赤い,あかい,red
133,着る,きる,"wear, put on"
134,笑う,わらう,"laugh, smile"
135,一番,いちば,"most, best"
136,授業,じゅぎょう,"class session, lecture"
137,週,しゅう,week
138,漢字,か,Chinese character
139,自転車,じて,bicycle
140,電車,で,train
141,探す,さがす,"search for, look for"
142,紙,かみ,paper
143,歌う,うたう,sing
144,遅い,おそい,"slow, late"
145,首,くび,neck
146,速い,はやい,fast
147,一緒に,い,"together, at the same time"
148,今月,こ,this month
149,遊ぶ,あそぶ,play
150,遠い,とおい,"far, distant"
151,弱い,よわい,weak
152,耳,みみ,ear
153,座る,すわる,"sit, sit down"
154,右,みぎ,right
155,浴びる,あびる,take (a shower)
156,肩,かた,shoulder
157,寝る,ねる,"lie down and sleep, go to sleep"
158,消す,けす,"switch off, turn off"
159,元気,げ,"healthy, energetic"
160,全部,ぜ,"all, whole"
161,去年,きょね,last year (colloquial)
162,引く,ひく,"draw, pull"
163,図書館,としょか,library
164,上げる,あげる,"raise, lift"
165,緑,みどり,green
166,腕,うで,arm
167,ドア,どあ,door (loan word)
168,女の子,おんあ,little girl
169,男の子,おとこ,boy
170,私たち,わたしたち,we (colloquial)
171,近く,ちかく,"near, close to"
172,やる,やる,"do, give"
173,かなり,かなり,"fairly, rather"
174,国,くに,country
175,起こる,おこる,happen
176,秋,あき,"autumn, fall"
177,送る,おくる,send
178,死ぬ,しぬ,die
179,気持ち,きもち,"feeling, sensation"
180,乗る,のる,"ride, take"
181,いる,いる,"be present, stay"
182,木,き,"tree, wood"
183,開ける,あける,"open, unlock (doors, windows, etc.)"
184,閉める,しめる,"shut, close (doors, windows, etc.)"
185,続く,つずく,"continue, follow"
186,お医者さん,おいしゃさ,doctor (polite)
187,円,え,Japanese yen
188,ここ,ここ,here
189,待つ,まつ,"wait, wait for"
190,低い,ひくい,"low, short"
191,もらう,もらう,receive
192,食べる,たべる,eat
193,兄,あに,(one’s own) older brother
194,名前,なまえ,name
195,夫,おっと,husband
196,一,いち,one
197,結婚,けっこ,marriage
198,親,おや,parent
199,話す,はなす,"speak, talk"
200,少し,すこし,"a bit, a little while"
201,閉じる,とじる,"shut, close (books, eyes, etc.)"
202,時,とき,"time, moment"
203,米,こめ,rice (grain)
204,切る,きる,cut
205,楽しい,たのしい,"fun, enjoyable"
206,服,ふく,clothes (colloquial)
207,後ろ,うしろ,"back, behind"
208,嬉しい,うれしい,"happy, glad"
209,腰,こし,"waist, lower back"
210,日曜日,にちようび,Sunday
211,昼,ひる,"daytime, midday"
212,お母さん,おかあさ,mother (colloquial)
213,大学生,だいがくせい,university student
214,終わり,おわり,"end, conclusion"
215,背,せ,"height, stature"
216,手伝う,てつだう,"help, assist"
217,鼻,はな,nose
218,起きる,おきる,"occur, happen, wake up, get up"
219,載せる,のせる,"place, put on"
220,悲しい,かなしい,sad
221,しゃべる,しゃべる,"chat, talk"
222,近く,ちかく,"in the near future, before long"
223,甘い,あまい,sweet
224,テーブル,て,table
225,食べ物,たべもの,food (colloquial)
226,始まる,はじまる,begin
227,ゲーム,げ,game
228,十,じゅう,ten
229,天気,て,weather
230,暑い,あつい,hot (of weather)
231,太い,ふとい,"thick, fat"
232,晩,ば,"evening, night (from sunset to bedtime)"
233,土曜日,どようび,Saturday
234,痛い,いたい,"sore, painful"
235,お父さん,おとうさ,"father, dad (colloquial)"
236,多分,たぶ,"probably, perhaps"
237,時計,とけい,"clock, watch"
238,泊まる,とまる,stay overnight
239,どうして,どうして,how come
240,掛ける,かける,"hang, put on"
241,曲がる,まがる,"make a turn, turn"
242,お腹,おなか,"stomach, belly"
243,ミーティング,み,meeting
244,嫌い,きらい,dislike (habitual)
245,金曜日,きにょうび,Friday
246,要る,いる,"need, require"
247,無い,ない,to not be
248,風邪,かぜ,cold (illness)
249,黄色い,きいろい,yellow
250,優しい,やさしい,"gentle, kind"
